,tweets
0,..THAT'S what it comes down to! You don't have to prove anything to the spreaders of dissent &amp; division..… https://t.co/bsvLeZV1gS
1,"Thank Heavens some will definitely get excluded from sitting on a ANY Jury! Yes, remind yourselves..… https://t.co/DvSq3DVuJC"
2,"It's not political, at least it shouldn't be, but def. some make it like it is.. 

#RacialInjustice… https://t.co/URBin3qgH9"
3,"They don't give a rat's butt what's going on, the real issue(s). Read what their Twitter fingers rant on, or not..… https://t.co/WU6I3BgsS4"
4,@brinicole1127 Mama ... ‘Maxine Waters’ ... like #GeorgeFloyd called his supplier
5,"#Encouragement Haters will keep on hating. 

Far right &amp; Trumplicans, other are trying to seize this☝️all..… https://t.co/pfOfzVvUFF"
6,".@RashidaTlaib You’ve lost your mind.

#DaunteWright #GeorgeFloyd are NOT about race. 
Because of your ‘defund the… https://t.co/IavwgBNd3s"
7,30 mins until curfew. On the scene with @statuscoup @SvensonBrad @DailyMailUK among other news outlets. One demonst… https://t.co/zGivzPZbaV
8,Now we know how those people felt as they were forced to watch the #StreetLynching for 9:29 minutes as Chauvin  for… https://t.co/0QzBUtc5bE
9,".@RepMaxineWaters out and speaking with protesters. ❤️🙌 #DanteWright #GeorgeFloyd

 .@UR_Ninja"
10,"They put a knee on your neck, they’re killing you and they know that. But they still expect you to not move. 

I wi… https://t.co/MHtqnozBAA"
11,"On the frontlines #brooklyncentermn,  @RepMaxineWaters talks about fighting for police reform. ""Looking for guilty… https://t.co/hfcAiFSRrd"
12,"Congresswoman Maxine Waters is in the trenches at the Brooklyn Center, MN protests. Speaking right in front of the… https://t.co/CgK8Uv53M4"
13,1/ Excellent discussion on #carbonmonoxide tests and blood has analysis vs pulse oximetry in the #GeorgeFloyd case… https://t.co/dEMPqanbx3
14,"Going to say this again - JOURNALISM DOESN'T COME WITH ""SAFE SPACES."" Get another job if you can't do your own. Loo… https://t.co/CWlTGp3HjW"
15,"Look at that moron of a face. 
Give him instant Karma. 
#GeorgeFloyd deserve #Justice https://t.co/zC2U14gCvj"
16,"What is wrong with the US Police? We watch in the UK with horror as #AdamToledo, 13 year old with hands up is shot… https://t.co/C26KoDLMDW"
17,"CLAIM: A photo shows #President #JoeBiden kneeling in front of #GeorgeFloyd’s son.

THE FACTS: The young boy in the… https://t.co/dR3HjDhFeI"
18,"Please come to remember #DaunteWright , #AdamToledo , #GeorgeFloyd , #BreonnaTaylor and the so many others, whose s… https://t.co/k9Hnl7MkPc"
19,How many different camera angles do we need so see #Chauvin kill #GeorgeFloyd ? Camera perspective may be important… https://t.co/7d3H1Q7eNB
20,Check out JoJo B's video! #TikTok https://t.co/yqNymfwdiI #DaunteWright #GeorgeFloyd #BlackLivesMatter
21,Republicans are white supremacists and are an enemy of the USA. #MinnesotaProtests #BrooklynCenter #DaunteWright… https://t.co/Tdskgd9cmS
22,(1742) KEROSENE - A Spoken Word Poem by Kevin Saunders https://t.co/UV2F49Fhru  #GeorgeFloyd #GeorgeFloydTrial… https://t.co/dJRlJqcUsG
23,"#N115SP, a #CirrusPerception/#SR22 #ISR aircraft, owned by the #MinnesotaStatePatrol, is orbiting the… https://t.co/N7SQAK2EmW"
24,"@bambii9 @AmeliousW I thought that. In closing have that length of silence, while a video put together, of stills o… https://t.co/wx2qAv4heF"
25,@celtics Celtics only win after I jinxed the game. #DerekChauvinTrial #DerekChauvin #GeorgeFloyd #COVID19Vaccine… https://t.co/Pm16icgspd
26,"#Breaking - A rally for Duante Wright is being held for Saturday evening in Washington Square Park, with a candleli… https://t.co/IQ4N1UjVLW"
27,@8611Noise @thehill When qualified immunity no longer protects officers from lawsuits it will be a new day in Ameri… https://t.co/1jXMskcYVM
28,@celtics We told ya so. Boston doesn't even believe in getting the #COVID19Vaccine No wonder they are all Sickos.… https://t.co/eMagpOWy91
29,Wonder any1s opinion is #derekchauvinisinnocent /Did NOTHING wrong. Esp wen #DerekChauvin cont knee/neck restraint… https://t.co/ABPcE2yd1C
30,"#GeorgeFloyd, #DaunteWright, and #AdamToledo are 100% responsible for their own deaths. Change my mind."
31,"Please stop doing this. Its so dumb. Justice in Policing Act, please stop calling it the #GeorgeFloyd act, would no… https://t.co/Q8Z7VjQLJH"
32,"Tomorrow we release a #BONUSEpisode. We had an incredible conversation this week with @YNPierce, Dean of @HowardU D… https://t.co/sSfiAgnJew"
33,"I am grieving more than the loss of #GeorgeFloyd, #DaunteWright, and #AdamToledo.
I’m also grieving the loss of my… https://t.co/WFVFSBtQFm"
