,tweets
0,Um... This needs to be seen by all in #mpls #BrooklynCenter #TwinCities https://t.co/NjTtanOVZp
1,Police officers stand guard on a roof as demonstrators gather for the seventh day in #BrooklynCenter to protest the… https://t.co/XpPycDL7dg
2,"Congresswoman Maxine Waters, addresses the crowd outside of Brooklyn Center Police Department #brooklyncenter… https://t.co/qBtWEyOLou"
3,"My car registration, insurance and license are all current.
There are no warrants for my arrest.
All is well.… https://t.co/osZWTWc8xm"
4,"It’s now a Press Lives Matter ? 
 #BrooklynCenter https://t.co/hCvIg1D4m8"
5,@RepMaxineWaters is in #BrooklynCenter  TAKE TO STREETS! https://t.co/buvCG31tZE
6,I’ve seen both                                 Rev. Jesse Jackson &amp; Congresswoman Maxine Waters in #BrooklynCenter… https://t.co/yGYmHlTJVM
7,"Night ride home from #BrooklynCenter during  curfew.
#DanteWright  
#BLM

Lady-O https://t.co/UiQXyjjCDA via @YouTube"
8,"4 day haul...
Catch &amp; Release in Dem cities 
Oh well.

Mugshots of #Antifa/#BLM #rioters in #BrooklynCenter (… https://t.co/3cWxiZ2Zn7"
9,As a Minnesota resident thank you @RepMaxineWaters for coming to Brooklyn Center #BrooklynCenter https://t.co/GgwUTUOoNY
10,"Jesse Jackson Arrives in Brooklyn Center, MN to Calm the Situation or Stir Up the Mob – Outside the Police Station… https://t.co/rSABbeiGJ2"
11,How can Maxine Waters be allowed to keep her job after tonight? #DerekChauvinTrial  #GeorgeFloyd #BrooklynCenter
12,#DuanteWright protests #BrooklynCenter when #Police stop the credentialed media from doing thier job theres somethi… https://t.co/hpt2ywK5y4
13,"The city of Champlain said it will seek reimbursement for $9,000 to protect Kim Potters house in Champlain.… https://t.co/BUzQr58x3a"
14,"So many lies about
 #Minneapolis right now. Military lock down BS 😂 #DaunteWright #Minneapolisprotests #brooklyncenter"
15,"Ok, we’ll.... It’s not like we didn’t see it coming. 
 #BrooklynCenter https://t.co/pAIKvsxOEw"
16,"I-94 closed hwy 100 to brooklyn blvd, per mndot #brooklyncenter #DaunteWright"
17,"“I can hear my neighbors crying #ICantBreathe.” @ the BCPD.

#GeorgeFloyd #DaunteWright #BrooklynCenter… https://t.co/kW6r5CxZ2S"
18,"Sad for anyone who cares to end police brutality to let sheriff's deputy Clyde Kerr iii suicide be in vain

He want… https://t.co/nOqLRYDva5"
19,#MaxineWaters needs to get Poso’d for inciting riots in #BrooklynCenter https://t.co/4P8H0oAXh3
20,"#MercadoMedia #SnackSquad LiveStream on YouTube channel‼️#BrooklynCenter 11:00 pm Curfew in effect, no dispersal order called yet."
21,“Murderapolis” painted on the barricades as public pressure on MPD continues in the wake of Officer Kim Potter’s mu… https://t.co/3u97alT6w3
22,Peaceful protest tonight while the @GovTimWalz calls in military to start shit! Always every night. Beat and hurt t… https://t.co/1TLbAoE9li
23,Protesters are holding space in front of the Brooklyn Center Police Dept. tonight in a party like atmosphere with a… https://t.co/mu7kfEsarC
24,MMW: She's here bc she wants to get arrested so she can go on TV/gov &amp; complain. She's pandering &amp; looking for leve… https://t.co/eZBbbuBbFj
25,"Journalists covering protests in #BrooklynCenter, #Minneapolis, or elsewhere: If you have questions or need legal a… https://t.co/C0QnE71Qpt"
26,Mark: She's here bc she wants to get arrested so she can go on TV/gov &amp; complain. She's pandering &amp; looking for lev… https://t.co/8VlZNKWV04
27,"It comes down to the COURT will decide!

We the People Demand Justice!

BEYOND ENOUGH with Trumplicans!… https://t.co/ljDsgHtcJ1"
28,"#BrooklynCenter
Mood shift... https://t.co/fEaeqbJV08"
29,"Watchdog Citizen News #brooklyncenter #mn #live # # 
https://t.co/GTDhLpeAv2"
30,The tone has immediately changed here at the #BrooklynCenter police department now that we’ve hit the 11pm curfew.… https://t.co/QXOfdHjIF8
31,..THAT'S what it comes down to! You don't have to prove anything to the spreaders of dissent &amp; division..… https://t.co/bsvLeZV1gS
32,"Thank Heavens some will definitely get excluded from sitting on a ANY Jury! Yes, remind yourselves..… https://t.co/DvSq3DVuJC"
33,Police in #BrooklynCenter being heavy handed with journalists https://t.co/jpk7MKEz0c
34,Words matter. #BrooklynCenter https://t.co/GeEURDQ1Yp
35,"Access to Activism  #brooklyncenter  #mn #live # #  Deaf livestreamer offering accsess to the deaf community 
https://t.co/jzuymdTgMo"
36,"It's not political, at least it shouldn't be, but def. some make it like it is.. 

#RacialInjustice… https://t.co/URBin3qgH9"
37,"They don't give a rat's butt what's going on, the real issue(s). Read what their Twitter fingers rant on, or not..… https://t.co/WU6I3BgsS4"
38,Maxine Waters just showed up in #BrooklynCenter at the protest.
39,@RepMaxineWaters is currently in #BrooklynCenter encouraging “protesters” to defy curfew and be more confrontationa… https://t.co/9AlHoVN6I9
40,"#BrooklynCenter
Photo Op time. https://t.co/0TxA10mEkm"
41,"#Encouragement Haters will keep on hating. 

Far right &amp; Trumplicans, other are trying to seize this☝️all..… https://t.co/pfOfzVvUFF"
42,Verified #BrooklynCenter #JusticeForDaunteWright https://t.co/az5aA1cinR
43,"Maxine Waters is out inciting riots tonight in #BrooklynCenter 
https://t.co/uM5ORi5dR0"
44,"More: Maxine Waters at the #BrooklynCenter protest 

Credit - Mercado Media: https://t.co/ek6EaSz3i2 https://t.co/bfvxdPtBvA"
45,"Maxine Waters has shown up at the ""protest"" in #BrooklynCenter 

Credit - Regg: https://t.co/tAQ9U43ElD https://t.co/d2ETiaUYXK"
46,"Props to @RepMaxineWaters for heading out to the protest in #BrooklynCenter and telling folks to stay out, defy cur… https://t.co/9LqwXDN79i"
47,"#BrooklynCenter
Oh sheesh, this lady... https://t.co/WJpcju2Gdt"
48,I have a lot of footage from tonight so far that I am going through at the moment. I’m going to just start posting… https://t.co/Z2r7ihNBeR
49,Congresswoman @RepMaxineWaters  traveled across the country to support the protesters in #BrooklynCenter. Where is @GovTimWalz ?
50,Omg... this loud-mouthed clown is in #BrooklynCenter MN. https://t.co/u9nGrsWfrc
51,@sarasidnerCNN @GovTimWalz you need to resign immediately for allowing the abuse on the press by armed police offic… https://t.co/7gwMNHZY50
52,The crowd outside of the #BrooklynCenter police station moments ago as the seventh night of protests continue there… https://t.co/evHGQnd0Cp
53,⁦.@RepMaxineWaters⁩ showing up in #BrooklynCenter!  Thank you! https://t.co/hWyKrYu1j6
54,"Lavishmack #brooklyncenter #mn #live # # 
https://t.co/aSHgkCpCLP"
55,Maxine Waters... Fucking stop! #DuanteWright #BrooklynCenter https://t.co/4WmFbnTdvD
56,"#BrooklynCenter
“Please make your way to your vehicle with plenty of extra time prior to curfew end”

Alternative i… https://t.co/wl0XMJgVMO"
57,"Never heard journalists complain so much about  getting hit (""WITH RUBBER BULLETS! WITH GAS!!). Do you bitch this m… https://t.co/FdTWW44kJn"
58,@donwinslow And the police were photographing all journalists before allowing them to leave the area. Something doe… https://t.co/EuNEDSBLZW
59,"#BrooklynCenter: Declaration from press photographer Tim Evans, who says he was charged, pepper-sprayed, pinned dow… https://t.co/OvGHAkBfut"
60,"We just got an alert on our phones, reminding us about the curfew here in #BrooklynCenter at 11pm. The crowd is get… https://t.co/Yhmpj5ezqD"
61,Republicans are white supremacists and are an enemy of the USA. #MinnesotaProtests #BrooklynCenter #DaunteWright… https://t.co/Tdskgd9cmS
62,Mostly white #Antifa folks in #BrooklynCenter #Minneapolis tonight. Cops changing tactics. Little or no presence; b… https://t.co/xxvnsZZmov
63,"#N115SP, a #CirrusPerception/#SR22 #ISR aircraft, owned by the #MinnesotaStatePatrol, is orbiting the… https://t.co/N7SQAK2EmW"
64,LIVE: Daunte Wright Protests Continue as Mayor Asks Police to Scale Back https://t.co/8k9sCXvnut via @YouTube… https://t.co/f0bKbzah50
65,"We’ll be seeing these two yutes later in the show. 
 #BrooklynCenter https://t.co/B9TUvMTaQd"
66,"“B*rn it down” 
Youth Protestors at #BrooklynCenter #BLM #BlackLivesMatter #DefundThePolice"
67,"Air fresheners cover the fence 
#brooklyncenter #JusticeForDaunteWright https://t.co/fTydULtT9r"
68,Monitoring #BrooklynCenter Feeds https://t.co/vibKyxsoQS
69,"#ICYMI: @rcfp, @BallardSpahrLLP &amp; 30 media orgs sent a letter to MN @GovTimWalz and law enforcement officials expre… https://t.co/c12VZQMMTt"
70,"WATCH: Protests continue for a seventh night in #BrooklynCenter.
https://t.co/0GCxzmLsK7"
71,"I think we are experiencing what a “Pay Wall” feels like in real time on Twitter @brianstelter 
 #BrooklynCenter https://t.co/sybkjYHn6Q"
72,"#BrooklynCenter
I fully endorse this. 

Get the ‘tifas outta there. https://t.co/mFKOPXiwxN"
73,"Dem. @GovTimWalz today told police to change their treatment of press in #BrooklynCenter. They agreed, but… https://t.co/9ypPYq4617"
74,I have yet to see a report from mainstream media in Minnesota about @GovTimWalz and the MN State Patrol calling in… https://t.co/QOdslfkXjR
75,The #BrooklynCenter protest enters night 7 outside the PD. Last night more than 130 were arrested. The scene is cal… https://t.co/zw6dK7rbYX
76,I am on the ground in #BrooklynCenter for the 7th night in a row. Tonight is a totally different vibe outside of th… https://t.co/A2Xd3UzSBJ
77,"“Fuck you Nazis”
- protestors, shouting @ Pigs
#brooklyncenter #Minneapolis #Minnesota"
78,"sooooo many fascists support state sanctioned murder...

#ANTIFA #AdamToledo #DaunteWright #BrooklynCenter"
79,"“Where were y’all at January 6th?”
“Aiding and Abetting!”
-protestors at #BrooklynCenter #Minneapolis #Minnesota"
80,The crowd here outside the #BrooklynCenter police department has nearly doubled in the last few hours. Several hund… https://t.co/Tb0RLFKSRO
81,The police have brutally opposed the BLM protests without shame almost continuously for a year now. They are making… https://t.co/i9UVo0scoV
82,"Protest continues at #BrooklynCenter police department.
#DaunteWright https://t.co/O7LT2zMun2"
83,"Frank Nitty #brooklyncenter #mn #live # # 
https://t.co/4PHbQqMpv9"
84,"*SALE*
Say Their Names T-Shirt
BUY HERE👉https://t.co/YXR7XwM5qW
#BlackLivesMatter #BrooklynCenter… https://t.co/EcmweF5sht"
85,"White-Supremacy Is Terrorism T-Shirt
BUY HERE👉https://t.co/5jp44TNdTb
#BlackLivesMatter #BrooklynCenter… https://t.co/IivKUlaP0a"
86,"Everybody Against Racism T-Shirt
BUY HERE👉https://t.co/uwPOGVcVEQ
#BlackLivesMatter #BrooklynCenter… https://t.co/DgxovZrtOZ"
87,Watching protest coverage in Minnesota via private live Youtube streams. Sad @CNN. Sad @MSNBC. 😥 #MinnesotaProtests… https://t.co/aYmzaJ5Dyt
88,Let’s make this trend. @GovTimWalz people haven’t heard from you in #BrooklynCenter. #WhereInTheWorldIsGovTimWalz
89,Brooklyn Center MN LIVE Daunte Wright Protest https://t.co/XE13J5SMAl #livestream #BrooklynCenter #Minnesota #Protest
90,"Chemical warfare tear gas CAUSES MISCARRIAGE AND BLEEDING

#LessLethalDoesNotMeanNonLeathal
#AntiBlackWar… https://t.co/n9mvqWSXM2"
91,"For the seventh night in a row, a crowd of protesters is gathering outside the #BrooklynCenter Police Department.… https://t.co/IiyhRJDvrH"
92,Don't these #antifa / #BlackLivesMatter race cult people get fired doing the same rioting night after night?… https://t.co/SZZnRuMj15
93,@Sam_Adeleine @AltYelloNatPark @katgal2 @ACLU Nobody's sitting around! Speak for yourself! I'm not arguing over som… https://t.co/UWfnXjljET
94,Who tf do #BrooklynCenter police think they are and why tf is @GovTimWalz allowing police in his state to behave li… https://t.co/V8h05kGrU7
95,@BennyDGinger @MinnesotaOSN @BrklynCenterMN Civilization says... 👇🏿 #minneapolis #BrooklynCenter https://t.co/QkCH8ZH2gm
96,"Unicorn Riot #brooklyncenter #mn #live # # 
https://t.co/weOKF2vs7i"
97,#Breaking: #BrooklynCenter sets 11 p.m. curfew as protests over #DaunteWright continue https://t.co/AMxT73Qmdm
98,Rev. Jesse Jackson is outside of #BrooklynCenter police headquarters right now speaking to people in the crowd comf… https://t.co/AnfRp1dOAE
99,"Regg Life #brooklyncenter #mn #live # # 
https://t.co/D6O8rSCsoA"
100,Cops locking people out of a church is next level fascism. #DaunteWright #BrooklynCenter #ANTIFA
101,"In #BrooklynCenter, ghost of racist past still haunts #Minnesota's most diverse city #DanteWright 
#KuKluxKlan… https://t.co/9o5sDfuDgL"
102,PETA supporters are outside the #BrooklynCenter Police Department handing out free #vegan pizza to all the people w… https://t.co/D4FXVd0jrW
103,Show up Tuesday evening to join with the educators of Brooklyn Center to denounce police brutality! ✊🏿… https://t.co/rgHYxmsILW
104,Did twitter really remove #DaunteWright from auto complete ? it also seems like #BrooklynCenter no longer auto comp… https://t.co/pp53bsnAsZ
105,"Fascists are going to crush you....even if you are in a church....
#ANTIFA #AdamToledo #DaunteWright #BrooklynCenter https://t.co/CKxwOeLshT"
106,"No church space anymore in #BrooklynCenter #DaunteWright 

""protesters to police"" smdh, well it was nice while it l… https://t.co/2mKSrwqnDo"
107,If anyone is planning to come to #BrooklynCenter tonight please be aware out of state law enforcement is coming. https://t.co/EhFiH0x99p
108,"Kare 11 #brooklyncenter #mn #live # # 
https://t.co/v0vEg1NGwS"
109,"DEDICATED TO ALL THE PEEPS OUT IN
#BrooklynCenter

NO SLEEP TILL BROOKLYN!!

https://t.co/5alitYFUEI… https://t.co/otFxG2Nflz"
110,"@gruberchris @GovTimWalz @GovTimWalz and the State Patrol requested assistance from the Ohio State Highway Patrol,… https://t.co/2vUOEtkQJV"
111,"Still waiting for the Governor I voted for, @GovTimWalz,  to appear at a press conference and announce a drastic fo… https://t.co/pVuKpuoIoK"
112,Day 7 of protests in #BrooklynCenter: https://t.co/j71CZxIPJb
113,Friday night in #BrooklynCenter https://t.co/7ktMN4vlBf https://t.co/QTwnR6cgay
114,"Frank Nitty II #brooklyncenter #mn #live # # 
https://t.co/hVanGAOEqp"
115,Continued Protests in #BrooklynCenter #dauntewright https://t.co/RpcLGbm2E6
116,"For all journalists covering protests in #BrooklynCenter, #Minneapolis, or elsewhere with questions or who need leg… https://t.co/MN9lLRdLj3"
117,"Here's some of the people arrested for #riot last night in #BrooklynCenter #Minneapolis 

Hassan Qais As-Sidiq -  a… https://t.co/WNwRmcGtBt"
118,I can hear a helicopter which can only mean one thing… people’s civil liberties are about to be trampled on.… https://t.co/tUhfPmKYgn
119,This young man was hit by a rubber bullet fired by @GovTimWalz 's militarized police force while protesting at… https://t.co/7oR6CX0WKz
120,"A determined rally moved through #Boston on Saturday, as hundred of people turned out for a march seeking “Justice… https://t.co/KIFjQcFisF"
121,Who escalated tensions in #BrooklynCenter? THE COPS! The reason there were so many arrests last night was cause whe… https://t.co/6LzUPI0nGW
122,"The KGB and Gestapo retired to Minnesota and gave birth to a whole new breed of fascist piglets!

#BrooklynCenter… https://t.co/b0EJ4rFRbi"
123,A crowd of about 300 took to the streets of downtown #Denver protesting the death of #DaunteWright on Saturday afte… https://t.co/bxnJInJpwv
124,"OSHP did not say how many troopers or what resources are being sent to Minnesota.

The call for assistance comes af… https://t.co/eCGVuWPeol"
125,"Several community organizations gathered at the #DaunteWright memorial today to offer prayer, art, music and food t… https://t.co/j2jfOfQKaa"
126,"The deaths of #DaunteWright in #BrooklynCenter, Minnesota, and 13-year-old #AdamToledo in #Chicago continued to spa… https://t.co/QvJSYcrclB"
127,"I am openly thinking about a trip to #Minneapolis &amp; to observe the #DerekChauvinTrial this next week, what do you a… https://t.co/63di7K2Uzk"
128,"Hundreds protested in #Boston on Saturday, calling for justice and change following last weekend's police shooting… https://t.co/OW2bk6stRi"
129,@IlhanMN @GovTimWalz @MayorFrey Do something. You know it's bad when a Judge has to order the #slavepatrols to stop… https://t.co/6u6FWdWFGS
130,"Black lies matter bozo azz clown fails the Pepsi challenge. 😂😂😂😂
Bulldog mouth. Pekingese azz.

#Minneapolis… https://t.co/grwGUAM0LK"
131,A protest in Stillwater calls for murder charges against former #BrooklynCenter police officer Kim Potter in the ki… https://t.co/gJrf9mHez7
132,"Frank Nitty #brooklyncenter #mn #live # # 
https://t.co/oZfnU0Txf3"
133,This is Minnesota nice!! What the hell is wrong with you @GovTimWalz?! Ashamed of my state! #BrooklynCenter… https://t.co/mI18vtdidz
134,The tiny brained #nazis in the #BrooklynCenter pd are thugs. The way they're dealing with journalists would have ma… https://t.co/IwaxfOk0uS
135,"The National Guard have nothing to do with the regular police. They aren't out ""on the streets killing black people… https://t.co/JFbI5Wt4nQ"
136,Another night of seeing #brooklyncenter tweets... https://t.co/HL5qUMurHA
137,You ever notice #antifa goes to black areas to do all the burning. Just like the KKK did. Racist Cowards. #BLM… https://t.co/OMOUQkNdCo
138,".@mayor_elliott Here is another one for your 'reasons cops have guns' file.  
#BrooklynCenter 
#BLMisBullshit https://t.co/noB69G7W5D"
139,"Is #MayorMikeElliott w/out power of authorization? A fenced protection &amp; police strapped to protect the EX-cop,… https://t.co/HtAXoKyFH9"
140,@MinnesotaOSN and their crooked shit don’t want the public to know their dirty work! @HennepinSheriff seriously?… https://t.co/shwyIH2RBO
141,"Activists are calling for an end to Operation Safety Net stating they are ""not safe."" Read it here: #DaunteWright… https://t.co/1y0YNgETmh"
142,"Listen to ""On The Town With Tanya Living Room Mic #onthetownwithtanya #livingroommic #BlackTwitter… https://t.co/s7ENnjX3Sb"
143,"US police trainers need revamping. https://t.co/XIpjYyjuvm

#BackTheBlue #BlueLivesMatter #AbolishThePolice #BLM… https://t.co/ZCBT9jhVWU"
144,"Hey ⁦@mayor_elliott⁩, there is no such thing as a “routine” traffic stop. #BrooklynCenter

https://t.co/1C6QKsRWeK"
145,"Who's the little piggy now?
😂😂😂😂😂😂😂😂😂

https://t.co/mpBiBmj7Ia

#seattleprotests #PortlandProtests #Minneapolis… https://t.co/pVZ7UEP2po"
146,"Are the officers who intentionally beat, maced and shot at journalists with pepper balls and rubber bullets going t… https://t.co/059XVD5R71"
147,I say let’s let #Portland #chicago #Minneapolis and #BrooklynCenter burn.... all of the thugs that act out have to… https://t.co/oYkqmlN5tr
148,I'm taking a break tonight to rest. I've spent 6 nights in the field covering #BrooklynCenter protests. Video conte… https://t.co/RhcNmEcjMr
149,"The Police in #BrooklynCenter are KNOWINGLY AND INTENTIONALLY targeting journalists, photographers and reporters wi… https://t.co/wTi4l3X9e6"
150,"🛑ℹ️  #antifa #portland #riots  #BrooklynCenter #PortlandProtests #seattle  #Stimuluscheck #stimuluschecks 

𝙃𝙚𝙧𝙚'𝙨… https://t.co/pn3f3QEKNE"
151,"Thanks for your leadership, @ZekeMD @TCMSMN &amp; other clinicians! #BrooklynCenter #BlackLivesMatter https://t.co/mwF9NTEaLH"
152,"blacklivesmediallc #brooklyncenter #mn #live # # 
https://t.co/7kFTPb7QgZ"
153,This was gut wrenching when it happened at the Lincoln Memorial last summer. It is abhorrent this year. Those in ch… https://t.co/THM58vZj8J
154,"@glennkirschner2:
Regarding #DaunteWright #Homicide By Cop(Murder)
#KimPotter &amp; #BrooklynCenter Police Department A… https://t.co/AEh40DKMQ6"
155,Again @MinnesotaOSN you never mention the wrong your people are doing during these press conference. What a way to… https://t.co/k3HZyF2C04
156,@CNN biased headlines about protests are getting old #BLM #BrooklynCenter   What about looking at these cops records for once!!
157,"On Tuesday something hit my left forearm and I looked down, saw this green powder/black hard plastic thing. There w… https://t.co/ASUFiPuIZF"
158,Dozens of church members from the Kenyan Community Church next to the #BrooklynCenter police department are holding… https://t.co/2RvIruP6zK
159,"Please don’t condemn protesting. Protesting is the result of out of control police who, up to this point, haven’t b… https://t.co/c8W6QO62Ap"
160,omg did they do something or just try to get gas #brooklyncenter #brooklyncentermn https://t.co/b4QlJOfWmo
161,"The United States of America

#AdamToledo #DaunteWright #Protests 

#BrooklynCenter #PDX #Minneapolis #Hollywood… https://t.co/ZgVriG5sPB"
162,Many were not treated as if there was a free press in #brooklyncenter https://t.co/51UyEUbjIb
163,"#BrooklynCenter #Minneapolis
Cops need to retaliate:
NYPD officers hit with Molotov cocktail and liquid chemical in… https://t.co/sAqwJ9oeez"
164,"#BrooklynCenter #DaunteWright
Friends of you a**holes?
https://t.co/f2277Lyyn9"
165,Five Sheriff SWAT vehicles turning onto Shingle Creek Parkway headed in the direction of the Minneapolis 5th Precin… https://t.co/3zdvUv28KK
166,"@benandjerrys We don’t need 2 OLD #WhitePrivilege MEN, wealthy beyond belief, inciting #Violence in poor #black nei… https://t.co/fgjnGnDJYR"
167,"Excessive Mass Military Operation! 
Small transit buses, multiwheel trucks, bicycles all moved on protestors.… https://t.co/isxCcxaLFt"
168,"We are under military occupation for a week or so... I think we just leveled up because these are trolling around,… https://t.co/YdudQe1m7u"
