,tweets
0,"Farmers stood in cold, heat, rain , thunder &amp; dust storms. Been subjected to police brutality, attacked by paid goo… https://t.co/SAUGbvtYSk"
1,"OUR BOLD TACHA protested against police brutality 

#InfluenTacha
@Symply_Tacha 
BUY POWER TACHA https://t.co/MZVXizdIXJ"
2,"OUR BOLD TACHA protested against police brutality 

#InfluenTacha
@Symply_Tacha 
BUY POWER TACHA https://t.co/Zdxvruh8Aw"
3,DC activist raise their fist and read off names that have been taken by police brutality.#dcprotests https://t.co/FIEVp46rS7
4,@VP @KamalaHarris What have you done about police brutality..  ?
5,"This Is The Type Of Muscle City Mayors Need 2 Exert Throughout The US》
This Will Let The Racist &amp; Undercover Racist… https://t.co/Bpawsg0Gfj"
6,Police have weak state licensing bodies and no national registry to prevent abusers from moving across state lines.… https://t.co/Vapw7IWDjc
7,#notthaticarebut do they still trot Sheriff Clark out anytime they need to justify police brutality?
8,"This is taxpayer money. Money that could go to enrichment programs, equity programs, housing programs. But no it’s… https://t.co/NNAWqDjBQT"
9,"@GeminiLowes @KSL1956 @FoxNews @CNN @ChrisCuomo It’s not just about race. It’s about police brutality, and the police brutalize everyone."
10,its sad that lyrics to S.O.A.D songs become more and more relevant to the current state of America  each year when… https://t.co/1S71NXFtDi
11,@SommersKendra @ChristinaJedra It’s really hard to talk about because there ARE so many instances of unwarranted po… https://t.co/gjB8Og8eCZ
12,"@uuhvaimorree ion even know what id do if i saw someone playin this ""police brutality simulator 2021"" ass shit"
13,BLM and police brutality are on everyone's minds and you see that in the art at the Bulb. https://t.co/w75ibWeILv
14,"tw // police brutality , death , shooting https://t.co/SIPiY2w0ZH"
15,"@davidmweissman I have spoken to lots of people who are Dems, progressive, black &amp; white. Many of them are too afra… https://t.co/A3bUQzktUS"
16,@FoxNews @CNN @ChrisCuomo White People do not resist Police. Watch Nikolas Cruz the Parkland Shooter’s perfect surr… https://t.co/Dqb4NZfFeM
17,"antiblackness , black death , police brutality / https://t.co/sgRUWH9eXU"
18,"“Hey son what do you want for your birthday?”

“Can I get that new game where I simulate police brutality??” https://t.co/10v0vmRxVQ"
19,"if u try and dig into someone after they  get killed as a result of police brutality and racism, all disrespect, go fuck yourself"
20,"Consequently, there is lot of anger in the Black Communities towards White Conservative Republican Politicians and… https://t.co/Fp7zBcmBww"
21,@Pachuban1 @MikeKofiA I don't know if you correctly recognize that Democrat and Republican mayors are just as bad a… https://t.co/hfwPDP7W5D
22,@AWKWORDrap @samswey @AntifascistF12 we've documented over 1300 police brutality incidents at protests in the last 10 months
23,@davenewworld_2 Now put a police uniform on the white guy;   Someone would call this police brutality.
24,"@RegimeChangeInc @brainsprinkles Exactly. Without the brutality of the police, the establishment would have fallen… https://t.co/gjbYABGDCE"
25,"Cw: police brutality, killing, and just being all around fucking disgusting pigs no videos or triggering images in… https://t.co/f2vOwPX9PY"
26,WTF?? What is wrong with Minneapolis? They really have tons of cases of police brutality and weird white crimes. To… https://t.co/Buksc5AaE3
27,"KTLA Los Angeles: Oakland protest against police brutality ends with multiple fires set, cars damaged.… https://t.co/ZePu7zMrpO"
28,@WchEpoo @LoniLove As if y’all hadn’t screamed «police brutality» from the top of your lungs if a Police officer ha… https://t.co/oDcIUMnCCD
29,"tw // death , police brutality , murder
-
-
- https://t.co/HZvIQ3TaSZ"
30,"Hundreds arrived today at the Boston Common to protest police brutality. 
@cspan 
 https://t.co/uePZ5S5NoI"
31,@FoxNews @CNN @ChrisCuomo Police brutality does happen to white kids (lower percentage). If MSM broadcasted it more… https://t.co/X2NTYrRJT9
32,FUCK white men on fox reporting on BLACK lives matter/police brutality protests. Y’all are completely blinded by yo… https://t.co/lEoWmu5ubR
33,This article claims that research is uncovering that the United States is at risk of armed insurgencies within the… https://t.co/mwrre0xu1y
34,"2,000 people (not hundreds) at #ChicagoProtests against the cop killing of 13-year old #AdamToledo.

Only 1-200 pro… https://t.co/HwaCBJnmeJ"
35,"tw // police brutality , anti blackness , Black death https://t.co/pDyIFRsTlP"
36,could we try to put locations in our tweets if we are sharing info about protests and police brutality? so many peo… https://t.co/o7LR1gd9Cl
37,"That case was horrific and a TRUE instance of police brutality/murder. I've watched the video, its very hard to wat… https://t.co/MZrDR9D1C4"
38,"// police brutality , death , shooting 

what that actual fuck. i’m fucking done. i fucking hate that i cant do any… https://t.co/XuCjhkeR3e"
39,How do Black cops feel about police brutality in today’s social climate? | ‘REVOLT BLACK NEWS’ https://t.co/eJKh5tpfiX via @RevoltTV
